round,value,question_scrabble_score
Double Jeopardy!,3200,2.0408163265306123
Double Jeopardy!,5000,1.5416666666666667
Double Jeopardy!,5000,1.86
Jeopardy!,100,1.6326530612244898
Jeopardy!,100,1.8735632183908046
Jeopardy!,100,1.6323529411764706
Jeopardy!,100,1.8028169014084507
Jeopardy!,100,1.6941176470588235
Jeopardy!,100,1.5
Jeopardy!,300,2.1142857142857143
Jeopardy!,300,1.8850574712643677
Jeopardy!,300,1.7530864197530864
Jeopardy!,300,1.7462686567164178
Jeopardy!,300,1.788888888888889
Jeopardy!,300,1.75
Jeopardy!,500,1.5925925925925926
Jeopardy!,500,1.8518518518518519
Jeopardy!,500,1.710144927536232
Jeopardy!,500,1.7125
Jeopardy!,500,1.7160493827160495
Jeopardy!,500,2.175
Jeopardy!,100,1.6911764705882353
Jeopardy!,100,1.6938775510204083
Jeopardy!,100,1.9024390243902438
Jeopardy!,100,2.1228070175438596
Jeopardy!,100,1.7575757575757576
Jeopardy!,100,1.3076923076923077
Jeopardy!,300,1.5789473684210527
Jeopardy!,300,1.6829268292682926
Jeopardy!,300,1.6666666666666667
Jeopardy!,300,1.6808510638297873
Jeopardy!,300,1.7032967032967032
Jeopardy!,300,1.7
Jeopardy!,500,1.7272727272727273
Jeopardy!,500,1.7321428571428572
Jeopardy!,500,1.5961538461538463
Jeopardy!,500,1.507462686567164
Jeopardy!,500,1.7659574468085106
Double Jeopardy!,1500,1.8169014084507042
Double Jeopardy!,1500,1.5576923076923077
Double Jeopardy!,4800,1.7123287671232876
Double Jeopardy!,1800,1.4285714285714286
Jeopardy!,100,1.6507936507936507
Jeopardy!,100,1.5818181818181818
Jeopardy!,100,1.62
Jeopardy!,100,1.5344827586206897
Jeopardy!,100,1.7702702702702702
Jeopardy!,100,1.45
Jeopardy!,300,1.7681159420289856
Jeopardy!,300,1.7901234567901234
Jeopardy!,300,1.5142857142857142
Jeopardy!,300,1.710144927536232
Jeopardy!,300,1.8227848101265822
Jeopardy!,300,1.7954545454545454
Jeopardy!,500,1.5714285714285714
Jeopardy!,500,1.6046511627906976
Jeopardy!,500,1.6417910447761195
Jeopardy!,500,1.9130434782608696
Jeopardy!,500,1.6666666666666667
Jeopardy!,500,1.2857142857142858
Double Jeopardy!,1100,1.6075949367088607
Jeopardy!,2200,1.875
Double Jeopardy!,3400,1.7
Double Jeopardy!,3000,1.3181818181818181
Jeopardy!,3000,1.6666666666666667
Double Jeopardy!,4000,1.5
